date,IGC GOI,,Wheat,Maize,Soyabeans,Rice,Barley
1/3/2000,97,,97,97,95,99,99
1/4/2000,97,,97,97,96,99,99
1/5/2000,97,,97,97,96,100,99
1/6/2000,97,,97,97,96,100,99
1/7/2000,97,,98,94,97,100,99
1/10/2000,98,,99,96,97,100,99
1/11/2000,99,,99,97,98,100,99
1/12/2000,100,,100,101,98,100,100
1/13/2000,100,,101,102,99,100,100
1/14/2000,100,,101,98,99,100,100
1/17/2000,101,,101,102,100,100,100
1/18/2000,101,,101,102,100,100,100
1/19/2000,101,,102,103,101,100,101
1/20/2000,101,,101,102,101,100,101
1/21/2000,101,,101,99,102,100,101
1/24/2000,102,,102,105,103,100,101
1/25/2000,102,,101,104,104,100,101
1/26/2000,102,,101,103,104,100,101
1/27/2000,103,,101,104,105,100,101
1/28/2000,102,,101,100,106,100,101
1/31/2000,102,,101,99,105,100,101
2/1/2000,101,,100,99,104,100,102
2/2/2000,101,,100,99,103,100,102
2/3/2000,101,,100,98,102,100,102
2/4/2000,100,,100,98,101,100,102
2/7/2000,101,,100,100,101,100,102
2/8/2000,101,,100,101,102,100,102
2/9/2000,101,,101,101,102,100,102
2/10/2000,101,,102,100,102,101,102
2/11/2000,102,,103,100,102,100,102
2/14/2000,102,,103,99,102,101,102
2/15/2000,102,,102,99,103,101,102
2/16/2000,102,,102,99,103,101,102
2/17/2000,102,,102,99,103,101,102
2/18/2000,102,,102,98,103,101,102
2/21/2000,101,,102,98,103,101,106
2/22/2000,101,,101,98,102,101,106
2/23/2000,101,,101,97,102,101,106
2/24/2000,100,,100,97,101,100,106
2/25/2000,100,,100,96,101,100,106
2/28/2000,100,,100,96,101,100,106
2/29/2000,100,,99,97,101,100,106
3/1/2000,100,,99,97,102,99,106
3/2/2000,100,,99,98,102,99,106
3/3/2000,100,,99,98,102,99,106
3/6/2000,100,,99,98,102,99,105
3/7/2000,100,,99,98,102,99,105
3/8/2000,100,,99,97,102,98,105
3/9/2000,100,,100,97,102,98,105
3/10/2000,100,,100,97,102,98,105
3/13/2000,101,,100,99,103,98,105
